productName,Sales Description,SKU,Type,Sales Price / Rate,Income Account,Purchase Description,Purchase Cost,Expense Account,Quantity on Hand,Reorder Point,Inventory Asset Account,Quantity as-of Date
Eggplant Long Green Per Lb,-672094,FP1001,Inventory,,,20-Lb,,,,,,
Eggplant Thai Per Lb, - 672095,FP1002,Inventory,,,30-Lb,,,,,,
Eggplant Graffiti Small Per Lb, - 672089,FP1003,Inventory,,,30-Lb,,,,,,
Eggplant Indian Per Lb,Eggplant indian Mexico - 672090,FP1004,Inventory,,,30-Lb,,,,,,
Eggplant Chinese Per Lb, - 672037,FP1005,Inventory,,,30-Lb,,,,,,
Eggplant Italian Per Lb,TBD -Eggplant- Italian Mexico - 672093,FP1006,Inventory,,,25-Lb,,,,,,
Eggplant American Ea,Eggplant 24 CT - 672035,FP1007,Inventory,,,24-Ea,,,,,,
Coconut Young Ea,TBD -Coconut Young 9s Thailand/ Coconut Fresh Thai 9 Pcs - 672021,FP1008,Inventory,,,9-Ea,,,,,,
Coconut Ea,TBD -Coconut Brown Mexico - 672013,FP1009,Inventory,,,20-Ea,,,,,,
Coconut Green Ea,TBD -Coconut Green Mexico - 672020,FP1010,Inventory,,,6-Ea,,,,,,
Coconut Dry Ea, - 672019,FP1011,Inventory,,,20-Ea,,,,,,
Onion Red Per Lb, - ,FP1012,Inventory,,,NP,,,,,,
Onion Yellow Per Lb, - ,FP1013,Inventory,,,NP,,,,,,
Onion White Per Lb,TBD -Onion White Med 50# - ,FP1014,Inventory,,,NP,,,,,,
Onion Shallot Per Lb, - 671929,FP1015,Inventory,,,40-Lb,,,,,,
Onion Yellow Bag 50Lb Ea,50 LB Yellow Onions Med - 671933,FP1016,Inventory,,,1-Ea,,,,,,
Onion Red Bag 50Lb Ea,40LB Red Onion/ Red onion JBO - 671925,FP1017,Inventory,,,1-Ea,,,,,,
Onion Red Bag 25Lb Ea,"25 LB Red Onion, Med - 671926",FP1018,Inventory,,,1-Ea,,,,,,
Onion Pearl Red Ea, - 671922,FP1019,Inventory,,,12-Ea,,,,,,
Potato Red Big Per Lb,TBD - Potato Red - 671995,FP1020,Inventory,,,50-Lb,,,,,,
Potato White Big Per Lb,White Potato A - 672017,FP1021,Inventory,,,50-Lb,,,,,,
Potato Russet Per Lb,TBD - Potato 40s/90s - 672611,FP1022,Inventory,,,50-Lb,,,,,,
Potato Russet 5Lb Ea,TBD -Potato 10-5# - 672012,FP1023,Inventory,,,10-Ea,,,,,,
Potato Russet 10Lb Ea,TBD -Potato 5-10# - 672011,FP1024,Inventory,,,5-Ea,,,,,,
Mango Green Lb, - 671881,FP1025,Inventory,,,50-Lb,,,,,,
Arbi/Taro Small Per Lb,Taro Baby/ EDO Malanga 30 LB - 672073,FP1026,Inventory,,,40-Lb,,,,,,
Lime Ea,TBD -Lime 175s Mexico/ Mexican Limes 230 CT Fancy - 671875,FP1027,Inventory,,,200-Ea,,,,,,
Lemon Ea,TBD -Lemon 140s mexico/ lemon 115s - 671874,FP1028,Inventory,,,115-Ea,,,,,,
Okra India Per Lb, - 671916,FP1029,Inventory,,,13-Lb,,,,,,
Okra Regular Per Lb, - 671917,FP1030,Inventory,,,13-Lb,,,,,,
Ram Tori Per Lb,TBD -Patora Mexico/ TBD -Squash Moap 30 LBS - 672092,FP1031,Inventory,,,30-Lb,,,,,,
Karela Per Lb,TBD -Bittermelon- Indian Mexico - 671817,FP1032,Inventory,,,30-Lb,,,,,,
Tindora Per Lb, - 672109,FP1033,Inventory,,,30-Lb,,,,,,
Carrot Baby Pack Ea, - 671958,FP1034,Inventory,,,30-Ea,,,,,,
Carrot Jumbo Per Lb,TBD -Carrot 25# Mexico - 671960,FP1035,Inventory,,,25-Lb,,,,,,
Cabbage Per Lb,TBD -Cabbage Green - 671903,FP1036,Inventory,,,50-Lb,,,,,,
Cauliflower Ea, - 671969,FP1037,Inventory,,,12-Ea,,,,,,
Bean Green Per Lb,TBD -Green Bean Mexico - 671845,FP1038,Inventory,,,30-Lb,,,,,,
Bean Long (Dark Green) Per Lb,TBD -Green Bean- Long Mexico - 671848,FP1039,Inventory,,,30-Lb,,,,,,
